Getränkename,Zutat,Menge pro Drink (ml/cl)
Big Brother of Moscow Mule,Ardbeg Ten Whisky,10
Big Brother of Moscow Mule,Falernum,15
Big Brother of Moscow Mule,Limettensaft,20
Big Brother of Moscow Mule,Ginger Ale,100
Maple Apple Whiskey Sour,Woodford Reserve Whiskey,50
Maple Apple Whiskey Sour,Limettensaft,20
Maple Apple Whiskey Sour,Ahornsirup,15
Maple Apple Whiskey Sour,Apfelsaft,30
Tennessee Buck,Jack Daniel's Tennessee Whiskey,50
Tennessee Buck,Zitronensaft,20
Tennessee Buck,Erdbeersirup,15
Tennessee Buck,Ginger Beer,100
Old Fashioned,Woodford Reserve Bourbon,50
Old Fashioned,Zuckersirup,10
Old Fashioned,Angostura-Bitters,3
Cosmopolitan,White Oak Vodka,40
Cosmopolitan,Cointreau,20
Cosmopolitan,Cranberrysaft,50
Cosmopolitan,Limettensaft,10
Eastern Breeze,White Oak Vodka,50
Eastern Breeze,Maracujasaft,40
Eastern Breeze,Limettensaft,20
Eastern Breeze,Zuckersirup,10
Espresso Martini,White Oak Vodka,50
Espresso Martini,Espresso,30
Espresso Martini,Kaffeelikör,20
Espresso Martini,Zuckersirup,10
Lemon Drop Martini,8 Mile Vodka,50
Lemon Drop Martini,Limettensaft,25
Lemon Drop Martini,Zuckersirup,15
Summertime Cheesecake,Likör 43,40
Summertime Cheesecake,Milch,40
Summertime Cheesecake,Vanillesirup,20
Summertime Cheesecake,Käsekuchenlikör,30
Summertime Cheesecake,Limettensaft,10
Mai Tai Boxed,Smith & Cross Traditional Jamaica Rum,30
Mai Tai Boxed,Appleton Estate Reserve Blend,30
Mai Tai Boxed,Overproof Rum,10
Mai Tai Boxed,Curacao Orange,15
Mai Tai Boxed,Mandelsirup (Orgeat),10
Mai Tai Boxed,Limettensaft,20
Mai Tai Boxed,Ananassaft,20
Pink and very stormy,Erdbeer-Rum,50
Pink and very stormy,Limettensaft,20
Pink and very stormy,Ginger Beer,100
Cuba Libre,Worthy Park Estate 109 (Overproof Rum),50
Cuba Libre,Cola,100
Cuba Libre,Limettensaft,20
Wildberry Lillet,Lillet Blanc,50
Wildberry Lillet,Schweppes Wild Berry,100
Paloma,Tequila,50
Paloma,Pink Grapefruit Limonade,150
Aperol Sprizz,Aperol,60
Aperol Sprizz,Scavi & Ray Prosecco,90
Solero,Maracujasaft,60
Solero,Limettensaft,30
Solero,Orangensaft,60
Solero,Vanillesirup,30
Ipanema,Sprite,250
Moscito,Ginger Ale,250
Virgin Pink Stormy,Cranberrysaft,50
Virgin Pink Stormy,Erdbeersirup,25
Virgin Pink Stormy,Ginger Beer,150
Apple Ginger Fizz,Apfelsaft,50
Apple Ginger Fizz,Limettensaft,25
Apple Ginger Fizz,Ingwersirup,25
Apple Ginger Fizz,Ginger Ale,100
Kölsch,Kölsch,300
O Donnell Moonshine Hart Nuss,O Donnell Moonshine Hart Nuss,30
O Donnell Moonshine Toffee,O Donnell Moonshine Toffee,30
Aperolless Sprizz,Laori Aperol,60
Aperolless Sprizz,Scheidgen Zero Sekt,200
Lilletless Berry,Freikopf Pink Lillet,60
Lilletless Berry,Wild berry zero,200
Ginless Tonic,Freikopf Gin,60
Ginless Tonic,Thomas Henry Tonic Zero,200
Cuba no Libre,Captain Morgan Zero Rum,60
Cuba no Libre,Cola Zero,200
O Donnell Moonshine Hart Nuss,O Donnell Moonshine Hart Nuss,30
O Donnell Moonshine Toffee,O Donnell Moonshine Toffee,30
Don Papa rot,Don Papa rot,30
Don Papa grün,Don Papa grün,30
Cuba Libre Havana Club,Havana Club 3 Años Rum,60
Cuba Libre Havana Club,Cola,250
Cuba Libre Worthy Park,Worthy Park Estate 109 (Overproof Rum),60
Cuba Libre Worthy Park,Cola,250
